Lineage name	England	Wales	Scotland	Northern_Ireland	Date range	Total sequences	Global lineage	Time since last sample (days)
UK320	0 (0%)	0 (0%)	7 (100.0%)	0 (0%)	Mar-24, Apr-21	7	B.1, B.1.5	33
UK612	1 (14.29%)	6 (85.71%)	0 (0%)	0 (0%)	Mar-31, Apr-11	7	B.2.1	43
UK487	7 (100.0%)	0 (0%)	0 (0%)	0 (0%)	Mar-24, Apr-08	7	B.1.1	46
UK572	0 (0%)	7 (100.0%)	0 (0%)	0 (0%)	Apr-07, May-01	7	B.1.1	23
UK330	6 (85.71%)	1 (14.29%)	0 (0%)	0 (0%)	Mar-23, Apr-13	7	B.1.1	41
UK1006	7 (100.0%)	0 (0%)	0 (0%)	0 (0%)	Apr-04, Apr-29	7	B.1.1	25
UK217	7 (100.0%)	0 (0%)	0 (0%)	0 (0%)	Apr-04, May-18	7	B.1.1	6
UK206	7 (100.0%)	0 (0%)	0 (0%)	0 (0%)	Mar-22, Apr-19	7	B.2.1	35
UK762	0 (0%)	7 (100.0%)	0 (0%)	0 (0%)	Apr-11, Apr-30	7	B.1.1	24
UK439	0 (0%)	7 (100.0%)	0 (0%)	0 (0%)	Apr-02, Apr-20	7	B.1.1	34
UK390	7 (100.0%)	0 (0%)	0 (0%)	0 (0%)	Mar-27, May-01	7	B.1.5	23
UK5703	6 (85.71%)	1 (14.29%)	0 (0%)	0 (0%)	Mar-06, Apr-11	7	B.2	43
UK806	7 (100.0%)	0 (0%)	0 (0%)	0 (0%)	Apr-04, Apr-27	7	B.1.1.10	27
UK699	0 (0%)	0 (0%)	7 (100.0%)	0 (0%)	Mar-23, Apr-24	7	B.1.5	30
UK317	7 (100.0%)	0 (0%)	0 (0%)	0 (0%)	Mar-26, Apr-16	7	B.3	38
UK232	7 (100.0%)	0 (0%)	0 (0%)	0 (0%)	Mar-04, Mar-30	7	B.1.1	55
UK913	7 (100.0%)	0 (0%)	0 (0%)	0 (0%)	Apr-03, Apr-29	7	B.1	25
UK418	0 (0%)	7 (100.0%)	0 (0%)	0 (0%)	Apr-03, Apr-20	7	B.1.1.10	34
UK282	0 (0%)	0 (0%)	7 (100.0%)	0 (0%)	Mar-23, Apr-22	7	B.1.1	32
UK434	0 (0%)	0 (0%)	7 (100.0%)	0 (0%)	Apr-20, May-03	7	B.1.5	21
UK563	4 (57.14%)	0 (0%)	3 (42.86%)	0 (0%)	Mar-20, May-12	7	B.1	12
UK554	0 (0%)	0 (0%)	7 (100.0%)	0 (0%)	Apr-23, May-05	7	B.1.5	19
UK801	0 (0%)	7 (100.0%)	0 (0%)	0 (0%)	Apr-05, May-02	7	B.1	22
UK247	6 (100.0%)	0 (0%)	0 (0%)	0 (0%)	Apr-04, May-15	6	B.1.1	9
UK157	6 (100.0%)	0 (0%)	0 (0%)	0 (0%)	Mar-29, May-16	6	B.1	8
UK5667	3 (50.0%)	3 (50.0%)	0 (0%)	0 (0%)	Mar-27, Apr-08	6	B.2	46
UK857	6 (100.0%)	0 (0%)	0 (0%)	0 (0%)	Mar-24, Mar-29	6	B.2.1	56
UK716	6 (100.0%)	0 (0%)	0 (0%)	0 (0%)	Mar-31, Apr-08	6	B.1.1	46
UK440	6 (100.0%)	0 (0%)	0 (0%)	0 (0%)	Mar-28, Apr-13	6	B.1.1.10	41
UK849	6 (100.0%)	0 (0%)	0 (0%)	0 (0%)	Apr-16, May-07	6	B.1.1	17
UK481	6 (100.0%)	0 (0%)	0 (0%)	0 (0%)	Mar-30, Apr-14	6	B.1.1	40
UK552	1 (16.67%)	0 (0%)	5 (83.33%)	0 (0%)	Mar-18, Mar-30	6	A.1	55
UK735	6 (100.0%)	0 (0%)	0 (0%)	0 (0%)	Mar-13, Apr-16	6	B.3	38
UK761	0 (0%)	6 (100.0%)	0 (0%)	0 (0%)	Apr-12, Apr-28	6	B.1.1	26
UK870	0 (0%)	0 (0%)	6 (100.0%)	0 (0%)	Mar-18, Mar-25	6	B.1.5	60
UK680	6 (100.0%)	0 (0%)	0 (0%)	0 (0%)	Apr-05, Apr-14	6	B.1	40
UK1023	6 (100.0%)	0 (0%)	0 (0%)	0 (0%)	Apr-07, Apr-16	6	B.1.1	38
UK433	3 (50.0%)	0 (0%)	3 (50.0%)	0 (0%)	Mar-22, Apr-07	6	B	47
UK627	0 (0%)	6 (100.0%)	0 (0%)	0 (0%)	Mar-31, Apr-10	6	B.1	44
UK989	6 (100.0%)	0 (0%)	0 (0%)	0 (0%)	Mar-21, Apr-19	6	B.1	35
UK313	6 (100.0%)	0 (0%)	0 (0%)	0 (0%)	Mar-23, Apr-14	6	B.1.1	40
UK799	6 (100.0%)	0 (0%)	0 (0%)	0 (0%)	Mar-01, Mar-07	6	B.1	78
UK654	6 (100.0%)	0 (0%)	0 (0%)	0 (0%)	Feb-27, Mar-08	6	B.2.5	77
UK16	6 (100.0%)	0 (0%)	0 (0%)	0 (0%)	Apr-16, May-06	6	B.1.1	18
UK5486	6 (100.0%)	0 (0%)	0 (0%)	0 (0%)	Mar-11, May-20	6	B.1.1, B.2	4
UK325	6 (100.0%)	0 (0%)	0 (0%)	0 (0%)	Apr-10, May-01	6	B.1.1	23
UK372	6 (100.0%)	0 (0%)	0 (0%)	0 (0%)	Apr-16, May-05	6	B.1.1	19
UK1793	2 (33.33%)	1 (16.67%)	3 (50.0%)	0 (0%)	Mar-30, Apr-30	6	B.1.5	24
UK263	6 (100.0%)	0 (0%)	0 (0%)	0 (0%)	Mar-20, Apr-13	6	B.1.p11	41
UK673	6 (100.0%)	0 (0%)	0 (0%)	0 (0%)	Mar-28, May-18	6	B.1.1	6
UK497	6 (100.0%)	0 (0%)	0 (0%)	0 (0%)	Mar-27, Apr-27	6	A.2	27
UK3432	1 (16.67%)	0 (0%)	5 (83.33%)	0 (0%)	Apr-07, May-10	6	B.1.1	14
UK93	0 (0%)	0 (0%)	6 (100.0%)	0 (0%)	Mar-21, May-06	6	B.1.1	18
UK682	6 (100.0%)	0 (0%)	0 (0%)	0 (0%)	Mar-21, Mar-30	6	B.2, B.2.1	55
UK2911	1 (16.67%)	0 (0%)	5 (83.33%)	0 (0%)	Mar-31, May-02	6	B.1.p11	22
UK489	6 (100.0%)	0 (0%)	0 (0%)	0 (0%)	Mar-23, Apr-07	6	B.2.1	47
UK5352	0 (0%)	0 (0%)	6 (100.0%)	0 (0%)	Apr-22, Apr-27	6	B.1.1.14	27
UK491	5 (83.33%)	0 (0%)	1 (16.67%)	0 (0%)	Mar-23, Apr-02	6	B.2.1	52
UK544	6 (100.0%)	0 (0%)	0 (0%)	0 (0%)	Mar-24, Apr-06	6	B.2.1	48
UK5570	5 (83.33%)	0 (0%)	1 (16.67%)	0 (0%)	Mar-05, Apr-17	6	B.2.2	37
UK110	6 (100.0%)	0 (0%)	0 (0%)	0 (0%)	Mar-24, Apr-29	6	B.1	25
UK68	6 (100.0%)	0 (0%)	0 (0%)	0 (0%)	Mar-20, Apr-30	6	B.1.1	24
UK596	2 (33.33%)	0 (0%)	4 (66.67%)	0 (0%)	Mar-22, Apr-05	6	B	49
UK102	6 (100.0%)	0 (0%)	0 (0%)	0 (0%)	Mar-10, Apr-16	6	B.1	38
UK570	6 (100.0%)	0 (0%)	0 (0%)	0 (0%)	Apr-05, Apr-17	6	B.1.1	37
UK746	6 (100.0%)	0 (0%)	0 (0%)	0 (0%)	Mar-31, Apr-14	6	B.1.5	40
UK555	0 (0%)	0 (0%)	6 (100.0%)	0 (0%)	Apr-13, Apr-25	6	B.1.5	29
UK755	6 (100.0%)	0 (0%)	0 (0%)	0 (0%)	Mar-06, May-21	6	B.1.1	3
UK5581	6 (100.0%)	0 (0%)	0 (0%)	0 (0%)	Mar-11, Apr-08	6	B.2.2	46
UK27	6 (100.0%)	0 (0%)	0 (0%)	0 (0%)	Mar-08, Apr-26	6	B.1.1	28
UK181	3 (50.0%)	3 (50.0%)	0 (0%)	0 (0%)	Apr-07, Apr-26	6	B.1.1	28
UK3126	4 (66.67%)	0 (0%)	0 (0%)	2 (33.33%)	Apr-06, May-04	6	B.1.1	20
UK270	6 (100.0%)	0 (0%)	0 (0%)	0 (0%)	Mar-13, Apr-09	6	B.3	45
UK302	6 (100.0%)	0 (0%)	0 (0%)	0 (0%)	Mar-25, May-03	6	B.1.1	21
UK280	6 (100.0%)	0 (0%)	0 (0%)	0 (0%)	Mar-30, Apr-15	6	B.1.1	39
UK5666	6 (100.0%)	0 (0%)	0 (0%)	0 (0%)	Mar-13, Apr-05	6	B.2	49
UK512	6 (100.0%)	0 (0%)	0 (0%)	0 (0%)	Mar-30, Apr-13	6	B.1.1	41
UK517	6 (100.0%)	0 (0%)	0 (0%)	0 (0%)	Mar-29, Apr-12	6	B.1.1	42
UK284	6 (100.0%)	0 (0%)	0 (0%)	0 (0%)	Apr-02, Apr-25	6	B.1.1	29
UK447	6 (100.0%)	0 (0%)	0 (0%)	0 (0%)	Apr-05, Apr-21	6	B.1.1	33
UK437	3 (50.0%)	3 (50.0%)	0 (0%)	0 (0%)	Mar-23, Apr-08	6	B.1	46
UK506	4 (66.67%)	0 (0%)	2 (33.33%)	0 (0%)	Mar-20, Apr-03	6	B.1.1	51
UK185	4 (66.67%)	0 (0%)	1 (16.67%)	1 (16.67%)	Mar-10, May-15	6	B.3	9
UK435	6 (100.0%)	0 (0%)	0 (0%)	0 (0%)	Apr-03, Apr-23	6	B.1.5	31
UK659	6 (100.0%)	0 (0%)	0 (0%)	0 (0%)	Mar-21, Mar-30	6	B	55
UK542	6 (100.0%)	0 (0%)	0 (0%)	0 (0%)	Apr-01, Apr-14	6	B.1	40
UK706	3 (50.0%)	0 (0%)	0 (0%)	3 (50.0%)	Mar-26, Apr-11	6	B.1.1	43
UK464	4 (66.67%)	2 (33.33%)	0 (0%)	0 (0%)	Mar-25, Apr-19	6	B.1	35
UK1344	6 (100.0%)	0 (0%)	0 (0%)	0 (0%)	Apr-20, May-08	6	B	16
