UK_lineage,taxon
UK3079,Wales/PHWC-2CB3A/2020
UK2192,Wales/PHWC-2C842/2020
UK2193,Wales/PHWC-2D568/2020
UK3314,Wales/PHWC-2ECF9/2020
UK2194,Wales/PHWC-2EC08/2020
UK2195,Wales/PHWC-2CA88/2020
UK2843,Wales/PHWC-2C578/2020
UK2196,Wales/PHWC-2C806/2020
UK5693,Wales/PHWC-2A589/2020
UK3315,Wales/PHWC-2D51D/2020
UK3316,Wales/PHWC-2A4C8/2020
UK2874,Wales/PHWC-2D36E/2020
UK3317,Wales/PHWC-2A370/2020
UK159,Wales/PHWC-2EB74/2020
UK2064,Wales/PHWC-2A2BF/2020
UK2197,Wales/PHWC-2D38C/2020
UK2657,Wales/PHWC-2A246/2020
UK2220,Wales/PHWC-2AAA8/2020
UK2811,Wales/PHWC-2B6D0/2020
UK2812,Wales/PHWC-2A853/2020
UK2221,Wales/PHWC-2BCED/2020
UK3455,Wales/PHWC-2AD27/2020
UK3024,Wales/PHWC-2BB86/2020
UK2222,Wales/PHWC-2AC57/2020
UK3456,Wales/PHWC-2AA11/2020
UK3457,Wales/PHWC-2B412/2020
UK2223,Wales/PHWC-2B61C/2020
UK2813,Wales/PHWC-2F0ED/2020
UK1634,Wales/PHWC-2F153/2020
UK2087,Wales/PHWC-2A880/2020
UK2903,Wales/PHWC-2B8AD/2020
UK839,Wales/PHWC-2BE41/2020
UK4517,Wales/PHWC-2F311/2020
UK3458,Wales/PHWC-2F40F/2020
UK1191,Wales/PHWC-2ABE1/2020
UK1635,Wales/PHWC-2BD53/2020
UK4734,Wales/PHWC-2BAA7/2020
UK1934,Wales/PHWC-2A835/2020
UK1348,Wales/PHWC-2B6A3/2020
UK3459,Wales/PHWC-2AB87/2020
UK2224,Wales/PHWC-2F0FC/2020
UK1710,Wales/PHWC-2BE32/2020
UK3460,Wales/PHWC-2AC93/2020
UK2814,Wales/PHWC-2F3E4/2020
UK3461,Wales/PHWC-2AC84/2020
UK2225,Wales/PHWC-2BC1A/2020
UK2226,Wales/PHWC-2A9D8/2020
UK3462,Wales/PHWC-2F1BD/2020
UK1565,Wales/PHWC-2B825/2020
UK3463,Wales/PHWC-2BDCC/2020
UK3464,Wales/PHWC-2BB1D/2020
UK1192,Wales/PHWC-2F223/2020
UK4735,Wales/PHWC-2BC83/2020
UK2227,Wales/PHWC-2F19F/2020
UK88,Wales/PHWC-2A9C9/2020
UK5746,Wales/PHWC-2A7ED/2020
UK2626,Wales/PHWC-2BDAE/2020
UK2228,Wales/PHWC-2EFF0/2020
UK2229,Wales/PHWC-2A792/2020
UK5692,Wales/PHWC-2BE9C/2020
UK2230,Wales/PHWC-2AA20/2020
UK2231,Wales/PHWC-2F126/2020
UK2802,Wales/PHWC-2A871/2020
UK3465,Wales/PHWC-2B7FB/2020
UK1566,Wales/PHWC-2F27E/2020
UK2232,Wales/PHWC-2BF6C/2020
UK2815,Wales/PHWC-2BC38/2020
UK3466,Wales/PHWC-2BF4E/2020
UK3467,Wales/PHWC-2B5C4/2020
UK2620,Wales/PHWC-2B55B/2020
UK2233,Wales/PHWC-2F162/2020
UK2234,Wales/PHWC-2BC74/2020
UK1808,Wales/PHWC-2B99B/2020
UK2633,Wales/PHWC-2B5F1/2020
UK3468,Wales/PHWC-2BDF9/2020
UK3469,Wales/PHWC-2B62B/2020
UK2235,Wales/PHWC-2B5B5/2020
UK3470,Wales/PHWC-2AB1E/2020
UK2816,Wales/PHWC-2BCA1/2020
UK2236,Wales/PHWC-2AC1B/2020
UK1809,Wales/PHWC-2AC48/2020
UK1193,Wales/PHWC-2B2FA/2020
UK2669,Wales/PHWC-2B03C/2020
UK2905,Wales/PHWC-2AE51/2020
UK1608,Wales/PHWC-29FD7/2020
UK1578,Wales/PHWC-2B05A/2020
UK1184,Wales/PHWC-29B79/2020
UK2856,Wales/PHWC-29C2B/2020
UK2285,Wales/PHWC-2A04C/2020
UK3693,Wales/PHWC-2B263/2020
UK2609,Wales/PHWC-2B1FD/2020
UK588,Wales/PHWC-2ADBE/2020
UK3694,Wales/PHWC-2B324/2020
UK180,Wales/PHWC-2AF30/2020
UK1948,Wales/PHWC-29E07/2020
UK2286,Wales/PHWC-2AF8B/2020
UK815,Wales/PHWC-2AFB8/2020
UK2287,Wales/PHWC-2AF6D/2020
UK1937,Wales/PHWC-2B04B/2020
UK2801,Wales/PHWC-29E34/2020
UK2906,Wales/PHWC-29C58/2020
UK2288,Wales/PHWC-29DA0/2020
UK2618,Wales/PHWC-29D55/2020
UK4652,Wales/PHWC-29DBF/2020
UK2857,Wales/PHWC-29CB2/2020
UK2828,Wales/PHWC-29C3A/2020
UK2825,Wales/PHWC-29C49/2020
UK3696,Wales/PHWC-2AED9/2020
UK3697,Wales/PHWC-2A000/2020
UK2082,Wales/PHWC-29FE6/2020
UK463,Wales/PHWC-29FC8/2020
UK2858,Wales/PHWC-29E25/2020
UK244,Wales/PHWC-29BE2/2020
UK4774,Wales/PHWC-2B0F0/2020
UK1730,Wales/PHWC-29BA6/2020
UK1579,Wales/PHWC-2B272/2020
UK4566,Wales/PHWC-2AE60/2020
UK3938,Wales/PHWC-27DB1/2020
UK2073,Wales/PHWC-28855/2020
UK3939,Wales/PHWC-27531/2020
UK5710,Wales/PHWC-27777/2020
UK2380,Wales/PHWC-27980/2020
UK2381,Wales/PHWC-28873/2020
UK5733,Wales/PHWC-27F42/2020
UK2382,Wales/PHWC-27C0F/2020
UK2383,Wales/PHWC-28679/2020
UK2384,Wales/PHWC-27C2D/2020
UK3940,Wales/PHWC-2806C/2020
UK2385,Wales/PHWC-285A9/2020
UK1670,Wales/PHWC-27795/2020
UK4909,Wales/PHWC-27944/2020
UK3941,Wales/PHWC-281B4/2020
UK1196,Wales/PHWC-275B9/2020
UK3942,Wales/PHWC-27BB7/2020
UK3943,Wales/PHWC-2765C/2020
UK2386,Wales/PHWC-28503/2020
UK3944,Wales/PHWC-27698/2020
UK62,Wales/PHWC-281D2/2020
UK1705,Wales/PHWC-28794/2020
UK4583,Wales/PHWC-278B0/2020
UK1655,Wales/PHWC-28424/2020
UK1197,Wales/PHWC-288CE/2020
UK4910,Wales/PHWC-287B2/2020
UK3945,Wales/PHWC-28530/2020
UK1698,Wales/PHWC-27883/2020
UK4584,Wales/PHWC-28521/2020
UK3946,Wales/PHWC-27786/2020
UK3947,Wales/PHWC-28943/2020
UK4585,Wales/PHWC-2856D/2020
UK2387,Wales/PHWC-2865B/2020
UK3948,Wales/PHWC-2723A/2020
UK3949,Wales/PHWC-27953/2020
UK3950,Wales/PHWC-2766B/2020
UK1586,Wales/PHWC-27319/2020
UK2065,Wales/PHWC-277B3/2020
UK1397,Wales/PHWC-27364/2020
UK330,Wales/PHWC-27C69/2020
UK129,Wales/PHWC-27DFD/2020
UK4911,Wales/PHWC-27971/2020
UK3951,Wales/PHWC-28442/2020
UK5756,Wales/PHWC-27285/2020
UK163,Wales/PHWC-2857C/2020
UK2863,Wales/PHWC-271A6/2020
UK3952,Wales/PHWC-27B4E/2020
UK1398,Wales/PHWC-28002/2020
UK2910,Wales/PHWC-277FF/2020
UK3953,Wales/PHWC-2748F/2020
UK2755,Wales/PHWC-28697/2020
UK1656,Wales/PHWC-272EF/2020
UK557,Wales/PHWC-27CB4/2020
UK2756,Wales/PHWC-27434/2020
UK2911,Wales/PHWC-27F7F/2020
UK3954,Wales/PHWC-27D1B/2020
UK2864,Wales/PHWC-27A50/2020
UK1952,Wales/PHWC-27C1E/2020
UK4586,Wales/PHWC-284E8/2020
UK2824,Wales/PHWC-27BA8/2020
UK3955,Wales/PHWC-2807B/2020
UK2820,Wales/PHWC-279AE/2020
UK132,Wales/PHWC-27E45/2020
UK2912,Wales/PHWC-27838/2020
UK2388,Wales/PHWC-28275/2020
UK3956,Wales/PHWC-27BE4/2020
UK1928,Wales/PHWC-27267/2020
UK2389,Wales/PHWC-274AD/2020
UK2390,Wales/PHWC-288FB/2020
UK186,Wales/PHWC-283FA/2020
UK4912,Wales/PHWC-278ED/2020
UK251,Wales/PHWC-2756E/2020
UK628,Wales/PHWC-27373/2020
UK2391,Wales/PHWC-278A1/2020
UK1657,Wales/PHWC-27AC9/2020
UK3957,Wales/PHWC-28891/2020
UK2581,Wales/PHWC-27AAB/2020
UK37,Wales/PHWC-27C87/2020
UK2392,Wales/PHWC-27C3C/2020
UK1198,Wales/PHWC-288BF/2020
UK4913,Wales/PHWC-28828/2020
UK2757,Wales/PHWC-2758C/2020
UK1942,Wales/PHWC-23896/2020
UK2722,Wales/PHWC-238C3/2020
UK188,Wales/PHWC-23984/2020
UK4236,Wales/PHWC-26B5E/2020
UK249,Wales/PHWC-26B6D/2020
UK4286,Wales/PHWC-2525A/2020
UK4287,Wales/PHWC-25375/2020
UK4288,Wales/PHWC-2514E/2020
UK5541,Wales/PHWC-251C6/2020
UK2485,Wales/PHWC-2530C/2020
UK5695,Wales/PHWC-2517B/2020
UK4649,Wales/PHWC-2516C/2020
UK4322,Wales/PHWC-24EFD/2020
