Name,oldest_sequence,newest_sequence,number_taxa
UK7438,2020-04-15,2020-04-15,1
UK7357,2020-04-02,2020-04-02,1
UK6654,2020-03-30,2020-04-09,2
UK7594,2020-05-01,2020-05-01,1
UK60,2020-03-18,2020-05-08,22
UK142,2020-03-26,2020-05-08,50
UK7587,2020-04-24,2020-04-24,1
UK6241,2020-04-13,2020-04-25,2
UK7617,2020-04-27,2020-04-27,1
UK7188,2020-05-09,2020-05-09,1
UK7177,2020-05-10,2020-05-10,1
UK5914,2020-04-24,2020-05-08,10
UK7178,2020-05-08,2020-05-08,1
UK7607,2020-04-24,2020-04-24,1
UK66,2020-03-12,2020-04-27,21
UK3914,2020-04-16,2020-05-08,15
UK7179,2020-05-09,2020-05-09,1
UK7487,2020-04-27,2020-04-27,1
UK7488,2020-04-14,2020-04-14,1
UK8182,2020-04-05,2020-04-27,3
UK5740,2020-03-26,2020-04-20,2
UK6430,2020-04-21,2020-04-28,5
UK695,2020-03-27,2020-03-30,2
UK7207,2020-04-20,2020-04-24,2
UK7687,2020-03-27,2020-04-26,42
UK1179,2020-03-26,2020-04-17,11
UK6967,2020-04-21,2020-04-27,4
UK4154,2020-03-30,2020-03-30,5
UK2944,2020-04-20,2020-04-27,2
UK7200,2020-04-22,2020-04-22,1
UK7489,2020-04-22,2020-04-22,1
UK6671,2020-04-09,2020-04-24,3
UK924,2020-03-23,2020-04-27,4
UK4352,2020-03-09,2020-04-27,5
UK7437,2020-04-14,2020-04-14,1
UK7274,2020-04-23,2020-04-23,1
UK7490,2020-04-24,2020-04-24,1
UK8055,2020-03-30,2020-04-09,3
UK28,2020-03-31,2020-04-23,11
UK7203,2020-05-01,2020-05-01,1
UK7258,2020-05-01,2020-05-01,1
UK206,2020-03-25,2020-05-05,7
UK7360,2020-05-04,2020-05-07,5
UK7217,2020-05-05,2020-05-05,1
UK7402,2020-05-05,2020-05-05,1
UK7904,2020-03-23,2020-05-05,6
UK3801,2020-04-10,2020-05-05,6
UK7166,2020-04-04,2020-04-04,1
UK3602,2020-04-04,2020-04-19,5
UK18,2020-03-11,2020-04-20,73
UK2696,2020-04-04,2020-04-16,5
UK4099,2020-04-04,2020-04-17,7
UK7355,2020-04-04,2020-04-04,1
UK4098,2020-04-04,2020-04-17,4
UK3892,2020-04-04,2020-04-16,3
UK7624,2020-04-04,2020-04-04,1
UK7218,2020-04-04,2020-04-04,1
UK7171,2020-04-04,2020-04-04,1
UK53,2020-03-10,2020-04-17,26
UK96,2020-03-19,2020-04-27,26
UK7491,2020-04-07,2020-04-07,1
UK5620,2020-03-25,2020-04-22,4
UK7362,2020-04-11,2020-04-11,1
UK7159,2020-04-22,2020-04-22,1
UK7291,2020-04-22,2020-04-27,2
UK2034,2020-03-31,2020-04-22,2
UK179,2020-04-08,2020-04-27,12
UK103,2020-03-21,2020-04-28,6
UK2594,2020-04-01,2020-04-28,6
UK5908,2020-04-11,2020-04-28,6
UK3716,2020-04-01,2020-04-28,9
UK253,2020-03-30,2020-04-22,4
UK205,2020-03-27,2020-04-27,16
UK4816,2020-04-02,2020-04-26,7
UK2024,2020-03-18,2020-04-15,8
UK5944,2020-04-24,2020-05-06,8
UK1961,2020-04-20,2020-05-06,8
UK7181,2020-05-06,2020-05-06,1
UK7311,2020-03-25,2020-03-25,1
UK7492,2020-03-27,2020-03-27,1
UK2945,2020-03-25,2020-04-14,2
UK1686,2020-03-23,2020-04-12,11
UK7608,2020-03-21,2020-03-21,1
UK52,2020-03-11,2020-04-14,37
UK7240,2020-03-27,2020-03-27,1
UK3596,2020-03-26,2020-04-09,3
UK1041,2020-03-27,2020-04-14,4
UK3306,2020-03-27,2020-04-08,3
UK3731,2020-03-28,2020-04-19,12
UK7493,2020-03-29,2020-03-29,1
