sequence_name,sample_date,epi_week,country,adm1,adm2,lineage,lineages_version,uk_lineage,acc_lineage,del_lineage,phylotype,acc_introduction,del_introduction,sequencing_org_code
England/CAMB-83FAE/2020,2020-04-25,17.0,UK,UK-ENG,BEDFORDSHIRE,B.1.1,2020-05-19,UK3919,B.1.X_1621,B.1.X_2078,UK3919_1,B.1.X_2169,B.1.X_2730,CAMB
England/CAMB-83F80/2020,2020-04-26,18.0,UK,UK-ENG,SUFFOLK,B.1.66,2020-05-19,UK167,B.1.Y.X_221,B.1.Y.X_230,UK167_1.1.1,B.1.Y.X_265,B.1.Y.X_275,CAMB
England/CAMB-83E83/2020,2020-04-25,17.0,UK,UK-ENG,ESSEX,B.1.1.1,2020-05-19,UK5,B.1.X_2477,B.1.X_3,UK5_1.1.1.1.1.1.2,B.1.X_613,B.1.X_641,CAMB
England/CAMB-83FDB/2020,2020-04-25,17.0,UK,UK-ENG,OTHER,B.1.1,2020-05-19,UK5496,B.1.X_2747,B.1.X_3196,UK5496_1,B.1.X_3272,B.1.X_3833,CAMB
England/CAMB-83F53/2020,2020-04-25,17.0,UK,UK-ENG,SUFFOLK,B.1.1,2020-05-19,UK67,B.1.X_2317,B.1.X_2774,UK67_1.1,B.1.X_1473,B.1.X_2034,CAMB
England/CAMB-83F71/2020,2020-04-25,17.0,UK,UK-ENG,ESSEX,B.1.30,2020-05-19,UK37,B.1.Y.X_11,B.1.Y.X_12,UK37_1.1.3.1,B.1.Y.X_13,B.1.Y.X_13,CAMB
England/CAMB-83F17/2020,2020-04-25,17.0,UK,UK-ENG,BUCKINGHAMSHIRE,B.1.5,2020-05-19,UK101,B.1_87,B.1_94,UK101_1,B.1_876,B.1_876,CAMB
England/CAMB-83FBD/2020,2020-04-22,17.0,UK,UK-ENG,CAMBRIDGESHIRE,B.1,2020-05-19,UK19,B.1.Y.X_61,B.1.Y.X_70,UK19_1.5.1,B.1.Y.X_94,B.1.Y.X_94,CAMB
England/NORW-E8D61/2020,2020-04-12,16.0,UK,UK-ENG,NORFOLK,B.1.5,2020-05-19,UK1632,B.1_703,B.1_721,,B.1_303,B.1_303,NORW
England/NORW-E8AB5/2020,2020-04-13,16.0,UK,UK-ENG,NORFOLK,B.1.1,2020-05-19,UK214,B.1.X_2348,B.1.X_651,UK214_1.2,B.1.X_1119,B.1.X_1655,NORW
England/NORW-E80A4/2020,2020-04-13,16.0,UK,UK-ENG,NORFOLK,B,2020-05-19,UK388,B_102,B_110,UK388_1,B_16,B_16,NORW
England/NORW-E8C91/2020,2020-04-13,16.0,UK,UK-ENG,NORFOLK,B.1.1,2020-05-19,UK214,B.1.X_2348,B.1.X_651,UK214_1.2,B.1.X_1119,B.1.X_1655,NORW
England/NORW-E8332/2020,2020-04-12,16.0,UK,UK-ENG,NORFOLK,B.1,2020-05-19,UK6,B.1_363,B.1_374,UK6_1.6,B.1_1782,B.1_1814,NORW
England/NORW-E6FF4/2020,2020-04-20,17.0,UK,UK-ENG,NORFOLK,B.1.1,2020-05-19,UK248,B.1.X_2219,B.1.X_2676,UK248_1.1,B.1.X_1571,B.1.X_2132,NORW
England/NORW-E6F12/2020,2020-04-18,16.0,UK,UK-ENG,SUFFOLK,B.1.5.5,2020-05-19,UK199,B.1_589,B.1_607,UK199_1,B.1_901,B.1_901,NORW
England/NORW-E8709/2020,2020-04-18,16.0,UK,UK-ENG,NORFOLK,B.1.1,2020-05-19,UK91,B.1.X_494,B.1.X_951,UK91_1.1.1,B.1.X_329,B.1.X_329,NORW
England/NORW-E8666/2020,2020-04-17,16.0,UK,UK-ENG,NORFOLK,B.1.5.5,2020-05-19,UK199,B.1_589,B.1_607,UK199_1,B.1_901,B.1_901,NORW
England/NORW-E6ECA/2020,2020-04-20,17.0,UK,UK-ENG,NORFOLK,B.1.1,2020-05-19,UK214,B.1.X_2348,B.1.X_651,UK214_1.2,B.1.X_1119,B.1.X_1655,NORW
England/NORW-E944D/2020,2020-04-22,17.0,UK,UK-ENG,NORFOLK,B.1,2020-05-19,UK6,B.1_363,B.1_374,UK6_1.4,B.1_1778,B.1_1810,NORW
England/NORW-E987E/2020,2020-04-23,17.0,UK,UK-ENG,NORFOLK,B.1,2020-05-19,UK36,B.1_1308,B.1_80,UK36_1.1.2,B.1_1733,B.1_1748,NORW
England/NORW-E9498/2020,2020-04-22,17.0,UK,UK-ENG,NORFOLK,B.1.1,2020-05-19,UK214,B.1.X_2348,B.1.X_651,UK214_1.2,B.1.X_1119,B.1.X_1655,NORW
England/NORW-E99B7/2020,2020-04-23,17.0,UK,UK-ENG,NORFOLK,B.1.1,2020-05-19,UK376,B.1.X_2216,B.1.X_2673,UK376_1.1.1,B.1.X_1574,B.1.X_2135,NORW
England/NORW-E8596/2020,2020-04-18,16.0,UK,UK-ENG,SUFFOLK,B.1.1,2020-05-19,UK3352,B.1.X_1620,B.1.X_2077,,B.1.X_2170,B.1.X_2731,NORW
England/NORW-E7193/2020,2020-04-20,17.0,UK,UK-ENG,NORFOLK,B,2020-05-19,UK1344,B_472,B_498,UK1344_1.1,B_422,B_456,NORW
England/NORW-E8675/2020,2020-04-18,16.0,UK,UK-ENG,NORFOLK,B.1.p11,2020-05-19,UK12,B.1_79,B.1_85,UK12_1.1,B.1_1266,B.1_1279,NORW
England/NORW-E96CF/2020,2020-04-22,17.0,UK,UK-ENG,NORFOLK,B.1,2020-05-19,UK36,B.1_1308,B.1_80,UK36_1.1.2,B.1_1733,B.1_1748,NORW
England/NORW-E8587/2020,2020-04-16,16.0,UK,UK-ENG,NORFOLK,B.1.p11,2020-05-19,UK200,B.1_535,B.1_548,UK200_1,B.1_1370,B.1_1383,NORW
England/NORW-E712A/2020,2020-04-19,17.0,UK,UK-ENG,NORFOLK,B.1.1,2020-05-19,UK278,B.1.X_2204,B.1.X_2661,UK278_1,B.1.X_1586,B.1.X_2147,NORW
England/NORW-E961A/2020,2020-04-22,17.0,UK,UK-ENG,SUFFOLK,B.1.p11,2020-05-19,UK200,B.1_535,B.1_548,UK200_1,B.1_1370,B.1_1383,NORW
England/NORW-E95A4/2020,2020-04-22,17.0,UK,UK-ENG,NORFOLK,B.1.1,2020-05-19,UK125,B.1.X_2211,B.1.X_2668,UK125_1.1,B.1.X_1579,B.1.X_2140,NORW
England/NORW-E702D/2020,2020-04-20,17.0,UK,UK-ENG,NORFOLK,B,2020-05-19,UK1344,B_472,B_498,UK1344_1,B_422,B_456,NORW
England/NORW-E8833/2020,2020-04-15,16.0,UK,UK-ENG,SUFFOLK,B.1.1,2020-05-19,UK204,B.1.X_2217,B.1.X_2674,UK204_1,B.1.X_1573,B.1.X_2134,NORW
England/NORW-E9841/2020,2020-04-23,17.0,UK,UK-ENG,NORFOLK,B.1.1,2020-05-19,UK233,B.1.X_2212,B.1.X_2669,UK233_1,B.1.X_1578,B.1.X_2139,NORW
England/NORW-E8411/2020,2020-04-18,16.0,UK,UK-ENG,NORFOLK,B.1.1,2020-05-19,UK351,B.1.X_2213,B.1.X_2670,UK351_1,B.1.X_1577,B.1.X_2138,NORW
England/NORW-E94F2/2020,2020-04-23,17.0,UK,UK-ENG,NORFOLK,B.1.1,2020-05-19,UK214,B.1.X_2348,B.1.X_651,UK214_1.2,B.1.X_1119,B.1.X_1655,NORW
England/NORW-E8718/2020,2020-04-16,16.0,UK,UK-ENG,NORFOLK,B.2,2020-05-19,UK5663,B.2_117,B.2_173,UK5663_1,B.2_922,B.2_1000,NORW
England/NORW-E83F6/2020,2020-04-18,16.0,UK,UK-ENG,NORFOLK,B.1.1,2020-05-19,UK3353,B.1.X_1619,B.1.X_2076,,B.1.X_2171,B.1.X_2732,NORW
England/NORW-E7175/2020,2020-04-18,16.0,UK,UK-ENG,SUFFOLK,B.1.p11,2020-05-19,UK135,B.1_534,B.1_547,UK135_1.1.1,B.1_1371,B.1_1384,NORW
England/NORW-E7272/2020,2020-04-19,17.0,UK,UK-ENG,NORFOLK,B.2,2020-05-19,UK5672,B.2_1111,B.2_1162,UK5672_1,B.2_935,B.2_1013,NORW
England/NORW-E6E60/2020,2020-04-18,16.0,UK,UK-ENG,SUFFOLK,B.1.1,2020-05-19,UK204,B.1.X_2217,B.1.X_2674,UK204_1,B.1.X_1573,B.1.X_2134,NORW
England/NORW-E97DB/2020,2020-04-23,17.0,UK,UK-ENG,NORFOLK,B.1.1,2020-05-19,UK376,B.1.X_2216,B.1.X_2673,UK376_1.1,B.1.X_1574,B.1.X_2135,NORW
England/NORW-E84A8/2020,2020-04-16,16.0,UK,UK-ENG,SUFFOLK,B.1.1,2020-05-19,UK204,B.1.X_2217,B.1.X_2674,UK204_1.1,B.1.X_1573,B.1.X_2134,NORW
England/NORW-E998A/2020,2020-04-23,17.0,UK,UK-ENG,NORFOLK,B.1,2020-05-19,UK6,B.1_363,B.1_374,UK6_1.4,B.1_1778,B.1_1810,NORW
England/NORW-E7139/2020,2020-04-18,16.0,UK,UK-ENG,SUFFOLK,B.1.p11,2020-05-19,UK135,B.1_534,B.1_547,UK135_1.2,B.1_1371,B.1_1384,NORW
England/NORW-E6F9A/2020,2020-04-19,17.0,UK,UK-ENG,NORFOLK,B.1,2020-05-19,UK6,B.1_363,B.1_374,UK6_1.4.1,B.1_1778,B.1_1810,NORW
England/NORW-E8648/2020,2020-04-16,16.0,UK,UK-ENG,NORFOLK,B.1.1,2020-05-19,UK204,B.1.X_2217,B.1.X_2674,UK204_1,B.1.X_1573,B.1.X_2134,NORW
England/NORW-E94A7/2020,2020-04-22,17.0,UK,UK-ENG,NORFOLK,B.1,2020-05-19,UK6,B.1_363,B.1_374,UK6_1.4.1.1,B.1_1778,B.1_1810,NORW
England/NORW-E9665/2020,2020-04-22,17.0,UK,UK-ENG,NORFOLK,B.1,2020-05-19,UK36,B.1_1308,B.1_80,UK36_1.1.2,B.1_1733,B.1_1748,NORW
England/NORW-E7254/2020,2020-04-20,17.0,UK,UK-ENG,NORFOLK,B.1.p11,2020-05-19,UK3033,B.1_481,B.1_494,,B.1_1424,B.1_1437,NORW
England/NORW-E953B/2020,2020-04-22,17.0,UK,UK-ENG,SUFFOLK,B.1.p11,2020-05-19,UK200,B.1_535,B.1_548,UK200_1,B.1_1370,B.1_1383,NORW
England/NORW-E6DEB/2020,2020-04-18,16.0,UK,UK-ENG,NORFOLK,B.1.1,2020-05-19,UK3354,B.1.X_1618,B.1.X_2075,,B.1.X_2172,B.1.X_2733,NORW
England/NORW-E8A97/2020,2020-04-15,16.0,UK,UK-ENG,NORFOLK,B.1.1,2020-05-19,UK233,B.1.X_2212,B.1.X_2669,UK233_1,B.1.X_1578,B.1.X_2139,NORW
England/NORW-E705A/2020,2020-04-19,17.0,UK,UK-ENG,NORFOLK,B.1,2020-05-19,UK415,B.1_6,B.1_6,UK415_1,B.1_57,B.1_57,NORW
England/NORW-E8578/2020,2020-04-17,16.0,UK,UK-ENG,NORFOLK,B.1.1,2020-05-19,UK204,B.1.X_2217,B.1.X_2674,UK204_1,B.1.X_1573,B.1.X_2134,NORW
England/NORW-E7360/2020,2020-04-20,17.0,UK,UK-ENG,CAMBRIDGESHIRE,B.2,2020-05-19,UK5672,B.2_1111,B.2_1162,UK5672_1.1,B.2_935,B.2_1013,NORW
England/NORW-E852D/2020,2020-04-18,16.0,UK,UK-ENG,LINCOLNSHIRE,B.1.1.10,2020-05-19,UK28,B.1.X_20,B.1.X_450,UK28_1.1.3,B.1.X_501,B.1.X_518,NORW
England/NORW-E7290/2020,2020-04-19,17.0,UK,UK-ENG,NORFOLK,B.1.1,2020-05-19,UK351,B.1.X_2213,B.1.X_2670,UK351_1.2,B.1.X_1577,B.1.X_2138,NORW
England/NORW-E9762/2020,2020-04-23,17.0,UK,UK-ENG,NORFOLK,B.1.1,2020-05-19,UK376,B.1.X_2216,B.1.X_2673,UK376_1.1.1,B.1.X_1574,B.1.X_2135,NORW
England/NORW-E8693/2020,2020-04-16,16.0,UK,UK-ENG,SUFFOLK,B.1.1,2020-05-19,UK3075,B.1.X_2257,B.1.X_2714,UK3075_1,B.1.X_1533,B.1.X_2094,NORW
England/NORW-E844E/2020,2020-04-16,16.0,UK,UK-ENG,NORFOLK,B.1.1,2020-05-19,UK204,B.1.X_2217,B.1.X_2674,UK204_1,B.1.X_1573,B.1.X_2134,NORW
England/NORW-E98D8/2020,2020-04-23,17.0,UK,UK-ENG,NORFOLK,B.1.1,2020-05-19,UK90,B.1.X_2209,B.1.X_2666,UK90_1.1,B.1.X_1581,B.1.X_2142,NORW
England/NORW-E942F/2020,2020-04-23,17.0,UK,UK-ENG,NORFOLK,B.1.1,2020-05-19,UK233,B.1.X_2212,B.1.X_2669,UK233_1,B.1.X_1578,B.1.X_2139,NORW
England/NORW-E954A/2020,2020-04-22,17.0,UK,UK-ENG,NORFOLK,B.1.1,2020-05-19,UK540,B.1.X_1617,B.1.X_2074,UK540_1.1,B.1.X_2173,B.1.X_2734,NORW
England/NORW-E738E/2020,2020-04-20,17.0,UK,UK-ENG,NORFOLK,B.1.1,2020-05-19,UK3355,B.1.X_1616,B.1.X_2073,,B.1.X_2174,B.1.X_2735,NORW
England/NORW-E72AF/2020,2020-04-21,17.0,UK,UK-ENG,NORFOLK,B.1,2020-05-19,UK2203,B.1_1067,B.1_1085,,B.1_2225,B.1_2268,NORW
England/NORW-E84D5/2020,2020-04-17,16.0,UK,UK-ENG,NORFOLK,B.1,2020-05-19,UK6,B.1_363,B.1_374,UK6_1.4.1,B.1_1778,B.1_1810,NORW
England/NORW-E86DF/2020,2020-04-17,16.0,UK,UK-ENG,NORFOLK,B.1,2020-05-19,UK701,B.1_371,B.1_384,UK701_1,B.1_1591,B.1_1604,NORW
England/NORW-E988D/2020,2020-04-23,17.0,UK,UK-ENG,SUFFOLK,B.1.5.5,2020-05-19,UK199,B.1_589,B.1_607,UK199_1.1.1,B.1_901,B.1_901,NORW
England/NORW-E8499/2020,2020-04-16,16.0,UK,UK-ENG,CAMBRIDGESHIRE,B.2,2020-05-19,UK5663,B.2_117,B.2_173,UK5663_1,B.2_923,B.2_1001,NORW
England/NORW-E9805/2020,2020-04-23,17.0,UK,UK-ENG,NORFOLK,B.1.1,2020-05-19,UK376,B.1.X_2216,B.1.X_2673,UK376_1.1.1.1,B.1.X_1574,B.1.X_2135,NORW
England/NORW-E8745/2020,2020-04-15,16.0,UK,UK-ENG,CAMBRIDGESHIRE,B.1,2020-05-19,UK6,B.1_363,B.1_374,UK6_1.5,B.1_1781,B.1_1813,NORW
England/NORW-E9401/2020,2020-04-23,17.0,UK,UK-ENG,SUFFOLK,B.1.1,2020-05-19,UK125,B.1.X_2211,B.1.X_2668,UK125_1.1,B.1.X_1579,B.1.X_2140,NORW
England/NORW-E739D/2020,2020-04-19,17.0,UK,UK-ENG,NORFOLK,B.1,2020-05-19,UK415,B.1_6,B.1_6,UK415_1,B.1_57,B.1_57,NORW
England/NORW-E98F6/2020,2020-04-23,17.0,UK,UK-ENG,NORFOLK,B.1.1,2020-05-19,UK248,B.1.X_2219,B.1.X_2676,UK248_1.1,B.1.X_1571,B.1.X_2132,NORW
England/NORW-E7351/2020,2020-04-19,17.0,UK,UK-ENG,NORFOLK,B.1.1,2020-05-19,UK204,B.1.X_2217,B.1.X_2674,UK204_1,B.1.X_1573,B.1.X_2134,NORW
England/NORW-E96B0/2020,2020-04-22,17.0,UK,UK-ENG,NORFOLK,B.1.p11,2020-05-19,UK200,B.1_535,B.1_548,UK200_1,B.1_1370,B.1_1383,NORW
England/NORW-E93C8/2020,2020-04-22,17.0,UK,UK-ENG,NORFOLK,B.1.1,2020-05-19,UK204,B.1.X_2217,B.1.X_2674,UK204_1,B.1.X_1573,B.1.X_2134,NORW
England/NORW-E7333/2020,2020-04-20,17.0,UK,UK-ENG,CAMBRIDGESHIRE,B.1.1,2020-05-19,UK233,B.1.X_2212,B.1.X_2669,UK233_1,B.1.X_1578,B.1.X_2139,NORW
England/NORW-E703C/2020,2020-04-19,17.0,UK,UK-ENG,NORFOLK,B.1.1,2020-05-19,UK278,B.1.X_2204,B.1.X_2661,UK278_1.1,B.1.X_1586,B.1.X_2147,NORW
England/NORW-E8402/2020,2020-04-16,16.0,UK,UK-ENG,NORFOLK,B.2,2020-05-19,UK5663,B.2_117,B.2_173,UK5663_1,B.2_924,B.2_1002,NORW
England/NORW-E80FF/2020,2020-04-15,16.0,UK,UK-ENG,NORFOLK,B.1,2020-05-19,UK6,B.1_363,B.1_374,UK6_1.4,B.1_1778,B.1_1810,NORW
England/NORW-E99F3/2020,2020-04-23,17.0,UK,UK-ENG,NORFOLK,B.1.1,2020-05-19,UK214,B.1.X_2348,B.1.X_651,UK214_1.2,B.1.X_1119,B.1.X_1655,NORW
England/NORW-E9A0F/2020,2020-04-22,17.0,UK,UK-ENG,NORFOLK,B.1,2020-05-19,UK6,B.1_363,B.1_374,UK6_1.4,B.1_1778,B.1_1810,NORW
England/NORW-E71C0/2020,2020-04-19,17.0,UK,UK-ENG,NORFOLK,B.1.1,2020-05-19,UK204,B.1.X_2217,B.1.X_2674,UK204_1,B.1.X_1573,B.1.X_2134,NORW
England/NORW-E946B/2020,2020-04-22,17.0,UK,UK-ENG,NORFOLK,B.1.1,2020-05-19,UK351,B.1.X_2213,B.1.X_2670,UK351_1.2,B.1.X_1577,B.1.X_2138,NORW
England/NORW-E7315/2020,2020-04-21,17.0,UK,UK-ENG,NORFOLK,B.1.1,2020-05-19,UK3356,B.1.X_1615,B.1.X_2072,,B.1.X_2175,B.1.X_2736,NORW
England/NORW-E6DDC/2020,2020-04-19,17.0,UK,UK-ENG,NORFOLK,B.1.p11,2020-05-19,UK2901,B.1_510,B.1_523,UK2901_1,B.1_1395,B.1_1408,NORW
England/NORW-E9744/2020,2020-04-23,17.0,UK,UK-ENG,NORFOLK,B.1.1,2020-05-19,UK214,B.1.X_2348,B.1.X_651,UK214_1.2.2.1,B.1.X_1119,B.1.X_1655,NORW
England/NORW-E7148/2020,2020-04-20,17.0,UK,UK-ENG,NORFOLK,B.1.1,2020-05-19,UK204,B.1.X_2217,B.1.X_2674,UK204_1,B.1.X_1573,B.1.X_2134,NORW
England/NORW-E70E1/2020,2020-04-19,17.0,UK,UK-ENG,SUFFOLK,B.1.1,2020-05-19,UK3357,B.1.X_1614,B.1.X_2071,,B.1.X_2176,B.1.X_2737,NORW
England/NORW-E9823/2020,2020-04-23,17.0,UK,UK-ENG,NORFOLK,B.2,2020-05-19,UK5520,B.2_1177,B.2_1228,,B.2_1311,B.2_1395,NORW
England/NORW-E86FD/2020,2020-04-17,16.0,UK,UK-ENG,NORFOLK,B.1.5.5,2020-05-19,UK199,B.1_589,B.1_607,UK199_1,B.1_901,B.1_901,NORW
England/NORW-E711B/2020,2020-04-18,16.0,UK,UK-ENG,LINCOLNSHIRE,B.1,2020-05-19,UK6,B.1_363,B.1_374,UK6_1,B.1_1793,B.1_1825,NORW
England/NORW-E6EF7/2020,2020-04-19,17.0,UK,UK-ENG,,B,2020-05-19,UK597,B_432,B_458,UK597_1,B_462,B_496,NORW
England/NORW-E86B1/2020,2020-04-18,16.0,UK,UK-ENG,SUFFOLK,B.1.p11,2020-05-19,UK135,B.1_534,B.1_547,UK135_1.2.1.1,B.1_1371,B.1_1384,NORW
England/NORW-E97AE/2020,2020-04-23,17.0,UK,UK-ENG,NORFOLK,B.1.1,2020-05-19,UK233,B.1.X_2212,B.1.X_2669,UK233_1,B.1.X_1578,B.1.X_2139,NORW
England/NORW-E72DC/2020,2020-04-19,17.0,UK,UK-ENG,NORFOLK,B.1.1,2020-05-19,UK540,B.1.X_1617,B.1.X_2074,UK540_1.1,B.1.X_2173,B.1.X_2734,NORW
England/NORW-E73CA/2020,2020-04-21,17.0,UK,UK-ENG,NORFOLK,B.1.1,2020-05-19,UK114,B.1.X_1726,B.1.X_2183,UK114_1,B.1.X_2064,B.1.X_2625,NORW
England/NORW-E6DCD/2020,2020-04-21,17.0,UK,UK-ENG,NORFOLK,B.1.1,2020-05-19,UK3358,B.1.X_1613,B.1.X_2070,,B.1.X_2177,B.1.X_2738,NORW
England/NORW-E9814/2020,2020-04-23,17.0,UK,UK-ENG,NORFOLK,B.1.1,2020-05-19,UK214,B.1.X_2348,B.1.X_651,UK214_1.2,B.1.X_1119,B.1.X_1655,NORW
England/NORW-E8639/2020,2020-04-17,16.0,UK,UK-ENG,NORFOLK,B.1.p11,2020-05-19,UK200,B.1_535,B.1_548,UK200_1.3,B.1_1370,B.1_1383,NORW
England/NORW-E737F/2020,2020-04-18,16.0,UK,UK-ENG,NORFOLK,B.2,2020-05-19,UK5663,B.2_117,B.2_173,UK5663_1.1,B.2_918,B.2_996,NORW
England/NORW-E85F0/2020,2020-04-18,16.0,UK,UK-ENG,SUFFOLK,B.1.1,2020-05-19,UK204,B.1.X_2217,B.1.X_2674,UK204_1,B.1.X_1573,B.1.X_2134,NORW
England/NORW-E6FA9/2020,2020-04-19,17.0,UK,UK-ENG,NORFOLK,B.1.1,2020-05-19,UK376,B.1.X_2216,B.1.X_2673,UK376_1.1.1,B.1.X_1574,B.1.X_2135,NORW
England/NORW-E85C3/2020,2020-04-18,16.0,UK,UK-ENG,NORFOLK,B.1.1,2020-05-19,UK376,B.1.X_2216,B.1.X_2673,UK376_1.1.1,B.1.X_1574,B.1.X_2135,NORW
England/NORW-E862A/2020,2020-04-17,16.0,UK,UK-ENG,SUFFOLK,B.1.1,2020-05-19,UK204,B.1.X_2217,B.1.X_2674,UK204_1,B.1.X_1573,B.1.X_2134,NORW
England/NORW-E6E42/2020,2020-04-21,17.0,UK,UK-ENG,CAMBRIDGESHIRE,B.1,2020-05-19,UK6,B.1_363,B.1_374,UK6_1.5,B.1_1781,B.1_1813,NORW
England/NORW-E72FA/2020,2020-04-22,17.0,UK,UK-ENG,NORFOLK,B.2,2020-05-19,UK5672,B.2_1111,B.2_1162,UK5672_1,B.2_935,B.2_1013,NORW
England/NORW-E98BA/2020,2020-04-23,17.0,UK,UK-ENG,SUFFOLK,B.1.1,2020-05-19,UK125,B.1.X_2211,B.1.X_2668,UK125_1.1,B.1.X_1579,B.1.X_2140,NORW
England/NORW-E86A2/2020,2020-04-16,16.0,UK,UK-ENG,NORFOLK,B.1.1,2020-05-19,UK540,B.1.X_1617,B.1.X_2074,UK540_1,B.1.X_2173,B.1.X_2734,NORW
England/NORW-E84B7/2020,2020-04-18,16.0,UK,UK-ENG,NORFOLK,B.1.1,2020-05-19,UK148,B.1.X_2218,B.1.X_2675,UK148_1,B.1.X_1572,B.1.X_2133,NORW
England/NORW-E72CD/2020,2020-04-20,17.0,UK,UK-ENG,NORFOLK,B.1.p11,2020-05-19,UK2464,B.1_82,B.1_88,UK2464_1,B.1_1061,B.1_1074,NORW
England/NORW-E71A2/2020,2020-04-19,17.0,UK,UK-ENG,NORFOLK,B.1.1,2020-05-19,UK248,B.1.X_2219,B.1.X_2676,UK248_1,B.1.X_1571,B.1.X_2132,NORW
England/NORW-E850F/2020,2020-04-17,16.0,UK,UK-ENG,NORFOLK,B.1.1,2020-05-19,UK2666,B.1.X_2604,B.1.X_3053,,B.1.X_107,B.1.X_107,NORW
England/NORW-E9753/2020,2020-04-23,17.0,UK,UK-ENG,NORFOLK,B.1.1,2020-05-19,UK376,B.1.X_2216,B.1.X_2673,UK376_1.1.1.1,B.1.X_1574,B.1.X_2135,NORW
England/NORW-E72BE/2020,2020-04-20,17.0,UK,UK-ENG,NORFOLK,B.1.1,2020-05-19,UK278,B.1.X_2204,B.1.X_2661,UK278_1.1,B.1.X_1586,B.1.X_2147,NORW
England/NORW-E6E8E/2020,2020-04-18,16.0,UK,UK-ENG,NORFOLK,B.1.1,2020-05-19,UK233,B.1.X_2212,B.1.X_2669,UK233_1,B.1.X_1578,B.1.X_2139,NORW
England/NORW-E6EBB/2020,2020-04-21,17.0,UK,UK-ENG,SUFFOLK,B.1.5.5,2020-05-19,UK199,B.1_589,B.1_607,UK199_1.1.1,B.1_901,B.1_901,NORW
England/NORW-E7078/2020,2020-04-19,17.0,UK,UK-ENG,NORFOLK,B.1.1,2020-05-19,UK351,B.1.X_2213,B.1.X_2670,UK351_1,B.1.X_1577,B.1.X_2138,NORW
England/NORW-E952C/2020,2020-04-22,17.0,UK,UK-ENG,SUFFOLK,B.1.1,2020-05-19,UK204,B.1.X_2217,B.1.X_2674,UK204_1,B.1.X_1573,B.1.X_2134,NORW
England/NORW-E73BB/2020,2020-04-20,17.0,UK,UK-ENG,NORFOLK,B.1.1,2020-05-19,UK278,B.1.X_2204,B.1.X_2661,UK278_1.1,B.1.X_1586,B.1.X_2147,NORW
England/NORW-E851E/2020,2020-04-16,16.0,UK,UK-ENG,NORFOLK,B.2,2020-05-19,UK5663,B.2_117,B.2_173,UK5663_1,B.2_920,B.2_998,NORW
England/NORW-E97CC/2020,2020-04-23,17.0,UK,UK-ENG,SUFFOLK,B.1.1,2020-05-19,UK125,B.1.X_2211,B.1.X_2668,UK125_1.1,B.1.X_1579,B.1.X_2140,NORW
England/NORW-E71B1/2020,2020-04-20,17.0,UK,UK-ENG,NORFOLK,B.1.1,2020-05-19,UK204,B.1.X_2217,B.1.X_2674,UK204_1,B.1.X_1573,B.1.X_2134,NORW
England/NORW-E6E9D/2020,2020-04-19,17.0,UK,UK-ENG,NORFOLK,B.1.1,2020-05-19,UK204,B.1.X_2217,B.1.X_2674,UK204_1,B.1.X_1573,B.1.X_2134,NORW
England/NORW-E85E1/2020,2020-04-19,17.0,UK,UK-ENG,NORFOLK,B.1.1,2020-05-19,UK204,B.1.X_2217,B.1.X_2674,UK204_1,B.1.X_1573,B.1.X_2134,NORW
England/NORW-E7069/2020,2020-04-21,17.0,UK,UK-ENG,NORFOLK,B.1.p11,2020-05-19,UK200,B.1_535,B.1_548,UK200_1.1,B.1_1370,B.1_1383,NORW
England/NORW-E960B/2020,2020-04-22,17.0,UK,UK-ENG,NORFOLK,B.1.1,2020-05-19,UK233,B.1.X_2212,B.1.X_2669,UK233_1,B.1.X_1578,B.1.X_2139,NORW
England/NORW-E994E/2020,2020-04-23,17.0,UK,UK-ENG,NORFOLK,B.1,2020-05-19,UK75,B.1_1121,B.1_1139,UK75_1,B.1_2171,B.1_2214,NORW
England/NORW-E85B4/2020,2020-04-18,16.0,UK,UK-ENG,NORFOLK,B.2,2020-05-19,UK5663,B.2_117,B.2_173,UK5663_1,B.2_921,B.2_999,NORW
England/NORW-E86C0/2020,2020-04-18,16.0,UK,UK-ENG,NORFOLK,B.1.1,2020-05-19,UK63,B.1.X_121,B.1.X_560,UK63_1,B.1.X_1403,B.1.X_1964,NORW
England/NORW-E8420/2020,2020-04-18,16.0,UK,UK-ENG,NORFOLK,B.1.1,2020-05-19,UK351,B.1.X_2213,B.1.X_2670,UK351_1.2,B.1.X_1577,B.1.X_2138,NORW
England/NORW-E7166/2020,2020-04-19,17.0,UK,UK-ENG,LINCOLNSHIRE,B.1,2020-05-19,UK6,B.1_363,B.1_374,UK6_1.5,B.1_1781,B.1_1813,NORW
England/NORW-E97BD/2020,2020-04-23,17.0,UK,UK-ENG,NORFOLK,B.1.1,2020-05-19,UK376,B.1.X_2216,B.1.X_2673,UK376_1.1.1.1,B.1.X_1574,B.1.X_2135,NORW
England/NORW-E9683/2020,2020-04-22,17.0,UK,UK-ENG,SUFFOLK,B.1.p11,2020-05-19,UK200,B.1_535,B.1_548,UK200_1,B.1_1370,B.1_1383,NORW
England/NORW-E8684/2020,2020-04-18,16.0,UK,UK-ENG,SUFFOLK,B.1.1,2020-05-19,UK204,B.1.X_2217,B.1.X_2674,UK204_1,B.1.X_1573,B.1.X_2134,NORW
